full_term,abbreviation,domain
application-specific integrated circuit,ASIC,components
digital signal processor,DSP,components
field-programmable gate array,FPGA,components
integrated circuit,IC,components
metal-oxide-semiconductor fet,MOSFET,components
microcontroller,MCU,components
operational amplifier,OPAMP,components
printed circuit board,PCB,components
system on chip,SoC,components
automatic test equipment,ATE,equipment
chemical vapor deposition,CVD,equipment
die bonder,DIE BONDER,equipment
wafer inspection,WF INSPECT,equipment
wire bonder,WIRE BONDER,equipment
doped silicon wafer,DOPED SI WAFER,materials
photoresist,PHOTORESIST,materials
silicon wafer,SI WAFER,materials
ball grid array,BGA,packaging
dual in-line package,DIP,packaging
low-profile quad flat package,LQFP,packaging
quad flat no-lead,QFN,packaging
small outline integrated circuit,SOIC,packaging
surface mount device,SMD,packaging
surface mount technology,SMT,packaging
connector,CONN,passives
multilayer ceramic capacitor,MLCC,passives
resistor,RES,passives
dynamic random access memory,DRAM,specifications
flash memory,FLASH,specifications
operating temperature,OP TEMP,specifications
static random access memory,SRAM,specifications
supply voltage,VDD,specifications
- electronic integrated,- ELEC INTG,components
- electronic integrated circuits,- ELEC INTG circuits,components
amplifier,AMP,components
application,APP,components
automatic,AUTO,components
ceramic,CER,components
checking electrical quantities,CHECK ELEC QUANTI,components
checking electrical quantities excluding,CHECK ELEC QUANTI EXCLUD,components
checking geometrical quantities,CHECK GEOMET QUANTI,components
checking geometrical quantities taric,CHECK GEOMET QUANTI taric,components
connection,CONN,components
controller,CTRL,components
controllers,CTRLS,components
converters logic circuits amplifiers,CONVER logic circuits AMPLIF,components
detector,DET,components
detectors,DETS,components
devices electronic integrated,DEVS ELEC INTG,components
devices electronic integrated circuits,DEVS ELEC INTG circuits,components
devices photosensitive semiconductor,DEVS PHOTOS SEMI,components
devices photosensitive semiconductor devices,DEVS PHOTOS SEMI DEVS,components
digital,DIG,components
diode,DIO,components
diode module,DIO MOD,components
diode module comprising,DIO MOD COMPRIS,components
electrical,ELEC,components
electrical quantities,ELEC QUANTI,components
electrical quantities excluding,ELEC QUANTI EXCLUD,components
electrical quantities excluding meters,ELEC QUANTI EXCLUD meters,components
electronic,ELEC,components
electronic integrated,ELEC INTG,components
electronic integrated circuits,ELEC INTG circuits,components
emitting diode,EMITT DIO,components
emitting diode module,EMITT DIO MOD,components
emitting diode module comprising,EMITT DIO MOD COMPRIS,components
function,FUNC,components
functions,FUNCS,components
geometrical quantities,GEOMET QUANTI,components
geometrical quantities taric,GEOMET QUANTI taric,components
handling,HDLG,components
instrument,INSTR,components
instruments,INSTR,components
integrated,INTG,components
led light emitting diode,LED light EMITT DIO,components
light emitting diode,LED,components
light emitting diode module,light EMITT DIO MOD,components
light-emitting diodes mounted piezoelectric,LIGHT-EMITT diodes mounted PIEZOE,components
manufacture of semiconductor,MANUFA OF SEMI,components
manufacture of semiconductor boules,MANUFA OF SEMI boules,components
manufacture of semiconductor devices,MANUFA OF SEMI DEVS,components
material,MATL,components
materials,MATLS,components
memory,MEM,components
module comprising,MOD COMPRIS,components
module in addition,MOD IN ADDIT,components
monitoring,MON,components
optical,OPT,components
optical fibres optical,OPT fibres OPT,components
optical fibres optical fibre,OPT fibres OPT fibre,components
optical instruments,OPT INSTR,components
oscilloscopes,OSCOPE,components
