hs6,hs4,hs2,segment
280410,2804,28,material
280440,2804,28,material
280461,2804,28,material
280530,2805,28,material
282612,2826,28,material
282619,2826,28,material
284430,2844,28,material
285000,2850,28,material
370710,3707,37,material
370790,3707,37,material
381800,3818,38,material
710499,7104,71,material
732090,7320,73,equipment
732690,7326,73,equipment
761699,7616,76,equipment
844332,8443,84,end_product
847130,8471,84,end_product
847150,8471,84,end_product
847330,8473,84,component
848610,8486,84,equipment
848620,8486,84,equipment
848640,8486,84,equipment
848690,8486,84,equipment
850431,8504,85,component
850440,8504,85,component
850450,8504,85,component
850490,8504,85,component
851310,8513,85,end_product
851419,8514,85,equipment
851680,8516,85,component
851762,8517,85,end_product
851840,8518,85,component
852351,8523,85,component
852491,8524,85,component
852691,8526,85,end_product
853610,8536,85,component
853650,8536,85,component
853669,8536,85,component
853890,8538,85,component
854110,8541,85,component
854121,8541,85,component
854129,8541,85,component
854130,8541,85,component
854141,8541,85,component
854142,8541,85,component
854149,8541,85,component
854151,8541,85,component
854160,8541,85,component
854190,8541,85,component
854231,8542,85,component
854232,8542,85,component
854233,8542,85,component
854239,8542,85,component
854370,8543,85,component
854442,8544,85,component
900190,9001,90,component
901380,9013,90,component
902519,9025,90,metrology
902590,9025,90,metrology
902710,9027,90,metrology
902750,9027,90,metrology
902910,9029,90,metrology
903033,9030,90,metrology
903039,9030,90,metrology
903040,9030,90,metrology
903082,9030,90,metrology
903084,9030,90,metrology
903090,9030,90,metrology
903141,9031,90,metrology
903149,9031,90,metrology
903180,9031,90,metrology
903190,9031,90,metrology
940542,9405,94,end_product
